,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
550,59074.631693,-20.213,1.15,-30,34,o,0,0.77,329.82726,-6.99383,9567.71,4136.16,2.29,2.19,24.4,-0.398,18.32,18.54,02a59074o0852o
551,59076.459198,21.943,1.579,6,10,o,0,1.02,329.82726,-6.99383,589.87,608.13,2.0,1.76,0.4,-0.477,19.71,20.91,01a59076o0462o
552,59076.463342,-21.95,1.653,-6,10,o,0,1.17,329.82726,-6.99383,611.92,647.94,2.07,1.78,0.5,-0.476,19.7,20.89,01a59076o0471o
553,59076.468437,-22.757,3.8,-3,11,o,0,0.88,329.82726,-6.99383,551.21,568.07,2.03,1.77,2.3,-0.483,19.66,20.79,01a59076o0482o
554,59076.481879,-20.948,0.69,-15,10,o,0,1.4,329.82726,-6.99383,534.34,685.07,2.09,1.86,7.2,-0.466,19.63,20.79,01a59076o0511o
555,59078.379499,-19.447,0.169,-60,10,c,0,1.24,329.82726,-6.99383,1014.98,6410.9,2.43,2.19,-49.0,-0.418,19.7,21.59,02a59078o0325c
556,59078.38715,-19.659,0.159,-50,8,c,0,1.17,329.82726,-6.99383,1039.68,6449.34,2.44,2.19,-51.1,-0.42,19.69,21.61,02a59078o0341c
557,59078.392727,-19.572,0.161,-54,9,c,0,1.32,329.82726,-6.99383,981.74,6371.69,2.49,2.23,-49.5,-0.417,19.7,21.62,02a59078o0353c
558,59078.427996,-20.147,0.263,-32,8,c,0,1.48,329.82726,-6.99383,957.88,6489.2,2.42,2.23,-47.9,-0.422,19.74,21.65,02a59078o0428c
559,59080.466657,22.693,3.474,3,11,o,0,1.21,329.82726,-6.99383,6704.3,4165.54,3.3,2.44,-0.6,-0.343,19.41,21.14,01a59080o0521o
560,59080.469895,-21.26,0.875,-11,10,o,0,0.92,329.82726,-6.99383,6724.09,4204.18,3.0,2.16,-0.6,-0.354,19.51,21.13,01a59080o0528o
561,59080.498329,-20.853,0.646,-16,11,o,0,0.81,329.82726,-6.99383,6667.54,4124.93,2.4,2.04,-4.4,-0.377,19.64,21.01,01a59080o0588o
562,59080.526946,-22.924,3.708,-2,9,o,0,1.1,329.82726,-6.99383,6651.21,4241.61,2.39,2.08,-3.3,-0.373,19.59,20.9,01a59080o0648o
563,59082.456432,-20.119,0.26,-32,8,c,0,1.41,329.82726,-6.99383,9942.89,1710.62,2.57,2.25,-58.6,-0.412,19.65,21.6,02a59082o0494c
564,59082.460284,-19.866,0.226,-41,9,c,0,1.22,329.82726,-6.99383,9924.15,1673.12,2.6,2.21,-58.5,-0.418,19.66,21.6,02a59082o0502c
565,59082.495851,-19.659,0.181,-50,9,c,0,1.19,329.82726,-6.99383,9977.07,1755.76,2.56,2.16,-54.9,-0.423,19.69,21.52,02a59082o0578c
566,59082.524329,-19.963,0.261,-38,10,c,0,1.24,329.82726,-6.99383,9998.86,1640.19,2.62,2.2,-52.6,-0.421,19.59,21.45,02a59082o0639c
567,59084.376862,-21.497,0.822,-9,8,o,0,1.32,329.82726,-6.99383,3855.81,6383.23,2.16,1.99,-8.6,-0.395,19.67,21.11,01a59084o0333o
