         MJD         m       dm     uJy   duJy F  err  chi/N        RA     Dec        x        y   maj   min   phi  apfit  mag5sig   Sky            Obs    __tmp_SN
57818.407508 19.014394      NaN     -22     30 o    0   0.94 142.43975 3.06937  5142.78  4087.33  4.09  3.62 -40.7 -0.483    18.74 20.63 01a57818o0374o   -0.733333
57818.422422 19.089302      NaN     -11     28 o    0   1.12 142.43975 3.06937  5163.21  4125.75  4.10  3.66 -39.6 -0.480    18.74 20.63 01a57818o0404o   -0.392857
57818.437925 18.767304      NaN      26     29 o    0   1.00 142.43975 3.06937  5104.34  4049.13  4.11  3.71 -42.9 -0.480    18.74 20.64 01a57818o0435o    0.896552
57818.453100 18.684100      NaN      32     30 o    0   1.00 142.43975 3.06937  5083.83  4166.86  4.08  3.62 -43.8 -0.483    18.75 20.62 01a57818o0465o    1.066667
57820.385326 16.971031      NaN     -90    197 o    0   1.14 142.43975 3.06937  3156.07  4498.85  4.10  3.74 -68.6 -0.462    17.06 17.45 01a57820o0352o   -0.456853
57820.400462 18.142010      NaN     -54     67 o    0   1.17 142.43975 3.06937  3175.16  4537.72  3.95  3.68 -65.5 -0.499    17.99 19.09 01a57820o0382o   -0.805970
57820.414980 15.569914      NaN    -448    716 o    0   1.12 142.43975 3.06937  3116.33  4462.28  4.51  4.07 -68.8 -0.413    15.70 15.73 01a57820o0411o   -0.625698
57820.430140 16.954622      NaN     -67    200 o    0   1.14 142.43975 3.06937  3098.94  4577.55  4.35  4.11 -50.2 -0.441    16.90 17.36 01a57820o0441o   -0.335000
57826.492576 18.280067      NaN     -43     59 o    0   1.03 142.43975 3.06937  3603.92  3873.94  4.25  3.77 -72.6 -0.467    18.05 19.12 01a57826o0441o   -0.728814
57826.505587 17.845990      NaN      69     65 o    0   1.21 142.43975 3.06937  3029.61  4459.87  4.36  3.96 -80.8 -0.484    17.97 19.00 01a57826o0466o    1.061538
57826.510628 17.813578      NaN      26     82 o    0   1.66 142.43975 3.06937  6922.41  6654.57  3.58  3.55  19.4 -0.447    17.68 18.19 02a57826o0543o    0.317073
57826.515061 17.900816      NaN      56     65 o    0   1.21 142.43975 3.06937  3903.29  4740.69  4.14  3.77 -69.1 -0.469    17.92 18.90 01a57826o0485o    0.861538
57826.523904 18.336727      NaN     -62     56 o    0   0.89 142.43975 3.06937  7503.85  6076.68  3.56  3.34  86.5 -0.448    17.64 18.06 02a57826o0568o   -1.107143
57826.528338 17.833722      NaN     -14     89 o    0   1.06 142.43975 3.06937  2733.43  3587.06  4.54  4.07 -83.7 -0.474    17.81 18.74 01a57826o0511o   -0.157303
57826.532851 18.191747      NaN     -18     64 o    0   1.43 142.43975 3.06937  6633.72  5783.48  3.57  3.37  88.6 -0.443    17.56 17.95 02a57826o0586o   -0.281250
57826.546206 17.509244      NaN      45    105 o    0   0.95 142.43975 3.06937  7788.77  6951.74  3.64  3.45  85.2 -0.478    17.43 17.77 02a57826o0612o    0.428571
57827.514272 17.829663      NaN      88     60 o    0   1.33 142.43975 3.06937  6921.97  6652.34  3.51  3.27 -86.8 -0.457    17.91 18.56 02a57827o0534o    1.466667
57827.525639 18.574166      NaN     -60     45 o    0   1.13 142.43975 3.06937  7503.21  6075.03  3.57  3.25 -89.1 -0.450    17.85 18.46 02a57827o0556o   -1.333333
57827.534089 18.311179      NaN      19     51 o    0   1.30 142.43975 3.06937  6634.13  5780.34  3.54  3.27 -87.5 -0.447    17.79 18.36 02a57827o0573o    0.372549
57828.373324 18.574166      NaN      48     29 o    0   1.01 142.43975 3.06937  5052.42  4860.37  3.55  3.34 -58.5 -0.470    18.75 20.34 01a57828o0308o    1.655172
57828.387808 19.128787      NaN     -17     27 o    0   1.10 142.43975 3.06937  5073.77  4899.66  3.65  3.37 -61.6 -0.469    18.69 20.26 01a57828o0337o   -0.629630
57828.402036 18.445391      NaN       8     48 o    0   1.05 142.43975 3.06937  5020.12  4824.03  3.67  3.35 -58.1 -0.470    18.20 19.75 01a57828o0366o    0.166667
57828.409939 17.293839      NaN      94    115 o    0   1.22 142.43975 3.06937  6301.04  7952.27  3.50  3.34  83.4 -0.485    17.54 18.49 02a57828o0365o    0.817391
57828.416418 18.174913      NaN      15     60 o    0   0.99 142.43975 3.06937  4998.41  4939.21  3.54  3.27 -57.1 -0.477    17.93 19.12 01a57828o0395o    0.250000
57828.427484 16.443192      NaN     304    219 o    0   0.32 142.43975 3.06937  6283.83  7912.49  3.50  3.33  85.9 -0.494    17.38 17.97 02a57828o0398o    1.388128
57828.445108 17.394850      NaN      28    124 o    0   0.92 142.43975 3.06937  6345.75  7989.12  3.46  3.32  90.0 -0.507    17.65 18.50 02a57828o0431o    0.225806
57828.462795 18.125925      NaN    -100     68 o    0   1.15 142.43975 3.06937  6366.02  7871.04  3.54  3.36 -85.0 -0.492    17.66 18.32 02a57828o0464o   -1.470588
57828.480440 18.298627      NaN     -19     58 o    0   1.65 142.43975 3.06937  6328.11  7928.98  3.62  3.49 -83.4 -0.462    18.12 19.03 02a57828o0497o   -0.327586
57830.373477 19.351140      NaN     -22     22 o    0   0.96 142.43975 3.06937  3814.76  3195.85  3.56  3.20 -83.3 -0.466    19.27 21.25 01a57830o0299o   -1.000000
57830.388412 18.720295      NaN      46     24 o    0   0.94 142.43975 3.06937  3833.51  3234.21  3.55  3.14 -80.2 -0.469    19.12 20.94 01a57830o0329o    1.916667
57830.408132 19.256669      NaN      -9     24 o    0   0.96 142.43975 3.06937  3779.25  3155.90  3.64  3.14 -77.5 -0.468    19.02 20.75 01a57830o0369o   -0.375000
