          MJD  MJDbin         uJy        duJy        stdev        x2  Nclip  Ngood  Nexcluded     Mask         m       dm
 58283.580629 58283.5   -3.212904    5.686333     19.81666   1.74862      0      6          6 0x800000 20.820116      NaN
          NaN 58474.5         NaN         NaN          NaN       NaN      0      0          0 0x800000       NaN      NaN
          NaN 58475.5         NaN         NaN          NaN       NaN      0      0          0 0x800000       NaN      NaN
          NaN 58476.5         NaN         NaN          NaN       NaN      0      0          0 0x800000       NaN      NaN
          NaN 58477.5         NaN         NaN          NaN       NaN      0      0          0 0x800000       NaN      NaN
          NaN 58478.5         NaN         NaN          NaN       NaN      0      0          0 0x800000       NaN      NaN
          NaN 58479.5         NaN         NaN          NaN       NaN      0      0          0 0x800000       NaN      NaN
          NaN 58480.5         NaN         NaN          NaN       NaN      0      0          0 0x800000       NaN      NaN
          NaN 58481.5         NaN         NaN          NaN       NaN      0      0          0 0x800000       NaN      NaN
          NaN 58482.5         NaN         NaN          NaN       NaN      0      0          0 0x800000       NaN      NaN
          NaN 58483.5         NaN         NaN          NaN       NaN      0      0          0 0x800000       NaN      NaN
          NaN 58484.5         NaN         NaN          NaN       NaN      0      0          0 0x800000       NaN      NaN
          NaN 58485.5         NaN         NaN          NaN       NaN      0      0          0 0x800000       NaN      NaN
          NaN 58486.5         NaN         NaN          NaN       NaN      0      0          0 0x800000       NaN      NaN
          NaN 58487.5         NaN         NaN          NaN       NaN      0      0          0 0x800000       NaN      NaN
          NaN 58488.5         NaN         NaN          NaN       NaN      0      0          0 0x800000       NaN      NaN
          NaN 58489.5         NaN         NaN          NaN       NaN      0      0          0 0x800000       NaN      NaN
          NaN 58490.5         NaN         NaN          NaN       NaN      0      0          0 0x800000       NaN      NaN
          NaN 58491.5         NaN         NaN          NaN       NaN      0      0          0 0x800000       NaN      NaN
          NaN 58492.5         NaN         NaN          NaN       NaN      0      0          0 0x800000       NaN      NaN
          NaN 58493.5         NaN         NaN          NaN       NaN      0      0          0 0x800000       NaN      NaN
