         MJD         m       dm    uJy  duJy F  err    chi/N        RA      Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs  __tmp_SN
57698.235060 18.900000      NaN     25    25 c    0     0.70 278.35567 44.08185 10157.63  7759.52 4.09 3.66  83.2 -0.409    19.22 20.82 02a57698o0112c  1.000000
57806.665062 18.729535      NaN    -12    39 c    0     0.97 278.35567 44.08185  1844.37  1638.35 3.87 3.81 -58.9 -0.412    18.64 19.71 02a57806o0831c -0.307692
57834.619769 19.226921      NaN     23    17 c    0     1.52 278.35567 44.08185 10201.64  3641.86 4.11 3.78  87.1 -0.404    18.82 20.58 02a57834o0673c  1.352941
57834.633336 19.510313      NaN    -23    19 c    0     1.03 278.35567 44.08185   738.55  3623.38 4.18 3.83  67.6 -0.382    18.79 20.49 02a57834o0698c -1.210526
57834.633864 19.401649      NaN     -3    21 c    0     0.99 278.35567 44.08185 10212.68  3682.04 4.17 3.86  87.9 -0.407    18.79 20.57 02a57834o0699c -0.142857
57834.647399 18.826541      NaN      8    33 c    0     1.03 278.35567 44.08185   752.96  3666.31 4.21 3.86  67.8 -0.375    18.34 19.53 02a57834o0724c  0.242424
57834.647935 18.729535      NaN     18    33 c    0     1.23 278.35567 44.08185 10156.87  3611.93 4.05 3.68 -89.8 -0.416    18.33 19.51 02a57834o0725c  0.545455
57838.608940 19.212347      NaN     15    20 c    0     0.98 278.35567 44.08185 10409.20 10173.82 4.60 4.32  81.1 -0.389    18.95 21.06 02a57838o0663c  0.750000
57838.622765 19.169763      NaN     -3    26 c    0     0.84 278.35567 44.08185   110.53 10090.17 4.48 4.06  29.0 -0.426    18.93 21.00 02a57838o0688c -0.115385
57838.623278 19.063754      NaN     23    21 c    0     1.07 278.35567 44.08185 10427.96 10207.59 4.61 4.32  78.2 -0.423    18.95 21.07 02a57838o0689c  1.095238
57838.628134 19.510313      NaN    -26    19 c    0     0.83 278.35567 44.08185  1636.03   395.76 4.59 4.38  44.7 -0.360    18.90 20.99 02a57838o0698c -1.368421
57838.636939 19.169763      NaN    -16    26 c    0     0.96 278.35567 44.08185   135.11 10129.92 4.70 4.28  36.9 -0.416    18.81 20.80 02a57838o0714c -0.615385
57838.637460 19.401649      NaN     -9    21 c    0     0.97 278.35567 44.08185 10369.22 10131.98 4.32 4.01  81.5 -0.408    18.91 20.84 02a57838o0715c -0.428571
57838.642365 19.302877      NaN    -18    23 c    0     0.86 278.35567 44.08185  1650.34   440.25 4.49 4.32  71.4 -0.364    18.60 20.23 02a57838o0724c -0.782609
57838.651197 15.960496      NaN    626   291 c    0     1.06 278.35567 44.08185    66.28 10052.11 4.22 3.77  27.6 -0.575    17.54 18.08 02a57838o0740c  2.151203
57838.651721 17.122592      NaN     10   168 c    0     1.10 278.35567 44.08185 10344.30 10256.59 3.85 3.56 -83.5 -0.536    17.57 18.00 02a57838o0741c  0.059524
57894.514429 20.321591      NaN    -19     9 c    0     1.63 278.35567 44.08185  1799.92  1033.96 3.39 2.51  20.7 -0.490    19.86 21.73 02a57894o0532c -2.111111
57894.537027 20.207197      NaN     -4    10 c    0     1.55 278.35567 44.08185  8673.17  9382.07 3.11 2.75   8.6 -0.405    19.72 21.70 02a57894o0573c -0.400000
57894.553460 20.207197      NaN    -15    10 c    0     1.22 278.35567 44.08185  8725.18  9446.13 3.19 2.74   6.1 -0.409    19.63 21.51 02a57894o0602c -1.500000
57894.570407 20.321591      NaN     -1     9 c    0     1.10 278.35567 44.08185  8735.20  9322.61 2.79 2.66  35.1 -0.418    19.81 21.60 02a57894o0631c -0.111111
57894.586641 20.321591      NaN     -1     9 c    0     1.34 278.35567 44.08185  8692.22  9380.92 2.84 2.71  56.4 -0.413    19.79 21.59 02a57894o0659c -0.111111
57898.516588 20.207197      NaN     -2    10 c    0     1.01 278.35567 44.08185  1255.97  2027.99 3.23 2.35  12.3 -0.498    19.85 21.79 02a57898o0376c -0.200000
57898.536584 20.321591      NaN    -19     9 c    0     1.18 278.35567 44.08185  9198.42  8383.00 2.92 2.60  72.6 -0.438    19.78 21.73 02a57898o0413c -2.111111
57898.550096 20.103715      NaN     -3    11 c    0     0.86 278.35567 44.08185  1223.90  1989.60 3.33 2.42  12.3 -0.491    19.83 21.72 02a57898o0437c -0.272727
57898.566108 20.137125      NaN      5     9 c    0     1.43 278.35567 44.08185  9276.54  8352.57 2.97 2.64  74.9 -0.420    19.81 21.78 02a57898o0465c  0.555556
57898.582424 20.449472      NaN     -5     8 c    0     1.25 278.35567 44.08185  9232.64  8408.41 2.98 2.57  75.7 -0.421    19.84 21.78 02a57898o0493c -0.625000
57902.490998 20.207197      NaN    -14    10 c    0     0.92 278.35567 44.08185  8182.95  3210.29 2.88 2.69 -54.6 -0.425    19.72 21.61 02a57902o0500c -1.400000
57902.503562 19.922338      NaN    -11    13 c    0     0.89 278.35567 44.08185  2280.57  7196.52 2.51 2.44  -2.8 -0.459    19.25 21.02 02a57902o0524c -0.846154
57902.522343 20.071303      NaN      7     9 c    0     1.25 278.35567 44.08185  8142.25  3175.88 2.88 2.67 -43.8 -0.422    19.77 21.69 02a57902o0560c  0.777778
57902.538624 20.321591      NaN     -1     9 c    0     1.26 278.35567 44.08185  2345.82  7156.96 2.48 2.38   4.3 -0.463    19.85 21.72 02a57902o0590c -0.111111
57902.554645 20.449472      NaN     -6     8 c    0     1.15 278.35567 44.08185  2315.26  7214.34 2.50 2.43   3.7 -0.456    19.85 21.73 02a57902o0618c -0.750000
57984.363437 20.321591      NaN     -7     9 c    0     1.56 278.35567 44.08185  9237.27  7570.71 2.60 2.50  65.3 -0.455    19.87 21.80 02a57984o0272c -0.777778
