,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
518,59364.344589,-21.525,1.0,-9,9,o,0,1.88,208.59412,-5.35705,7673.77,9549.23,2.29,2.11,-83.0,-0.386,19.64,20.92,01a59364o0213o
519,59364.348303,-21.069,0.698,-14,10,o,0,1.17,208.59412,-5.35705,7693.82,9587.79,2.16,2.0,-78.5,-0.394,19.73,20.9,01a59364o0221o
520,59364.354338,-21.093,0.732,-13,10,o,0,1.31,208.59412,-5.35705,7636.37,9508.83,2.12,1.95,-85.1,-0.395,19.7,20.84,01a59364o0234o
521,59364.365959,-23.61,8.357,-1,11,o,0,1.29,208.59412,-5.35705,7619.31,9624.39,2.2,2.01,89.6,-0.396,19.6,20.7,01a59364o0259o
522,59366.408743,-24.288,14.143,-1,10,o,0,1.55,208.59412,-5.35705,9233.72,3161.86,2.08,1.9,-56.3,-0.433,19.56,20.77,02a59366o0269o
523,59366.412402,-21.113,0.712,-13,9,o,0,2.09,208.59412,-5.35705,9214.71,3123.4,2.07,1.89,-56.3,-0.434,19.55,20.74,02a59366o0277o
524,59366.419275,-21.28,0.841,-11,9,o,0,1.81,208.59412,-5.35705,9274.69,3201.64,2.06,1.89,-57.0,-0.43,19.6,20.71,02a59366o0292o
525,59366.437915,21.869,1.952,6,13,o,0,1.06,208.59412,-5.35705,9299.61,3082.31,2.12,1.92,-49.6,-0.433,19.45,20.5,02a59366o0331o
526,59368.428529,-20.728,0.406,-19,8,c,0,1.72,208.59412,-5.35705,2010.01,3273.6,2.15,2.08,-76.6,-0.409,19.91,21.65,01a59368o0419c
527,59368.431308,22.118,1.625,5,8,c,0,1.16,208.59412,-5.35705,2031.2,3311.49,2.22,2.12,-79.0,-0.408,19.89,21.65,01a59368o0425c
528,59368.453338,-20.615,0.327,-21,7,c,0,1.51,208.59412,-5.35705,1974.16,3235.0,2.24,2.17,-83.3,-0.405,19.81,21.57,01a59368o0471c
529,59368.4664,-21.845,1.277,-7,8,c,0,1.15,208.59412,-5.35705,1953.92,3349.75,2.27,2.22,-50.8,-0.394,19.76,21.45,01a59368o0499c
530,59370.348557,-21.691,1.574,-8,12,o,0,1.48,208.59412,-5.35705,8662.61,9271.83,2.41,2.35,87.7,-0.424,19.53,20.87,02a59370o0238o
