reqId	ra	dec	startJD	endJD	created	started	ended	machine	exitcode	lightcurve
387624	220.494025	19.0931944444444	2459986.795463	2460586.795463	2024-09-29 09:56:46.659521	2024-09-29 10:49:29.718876	2024-09-29 10:55:34.117915	48	0	/ztf/ops/forcedphot/lc/0/387/req387624/cksum4cbe8881f8000374d61a682c9f68d1e9/forcedphotometry_req00387624_lc.txt
387625	80.0274166666667	10.6332611111111	2459741.963000	2460341.963000	2024-09-29 09:56:46.721385	2024-09-29 10:49:29.94098	2024-09-29 10:55:23.587775	48	0	/ztf/ops/forcedphot/lc/0/387/req387625/cksuma2b3bc269576e0f463a63f97147e5afe/forcedphotometry_req00387625_lc.txt
387626	270.574041666667	80.1008694444444	2459686.787000	2460286.787000	2024-09-29 09:56:46.867506	2024-09-29 10:52:41.654573	2024-09-29 11:04:26.307615	48	56	/ztf/ops/forcedphot/lc/0/387/req387626/cksum77fea948b00efd7a1ed3d46fe1219055/forcedphotometry_req00387626_lc.txt
387627	190.7004375	64.5749138888889	2459600.740417	2460200.740417	2024-09-29 09:56:46.913797	2024-09-29 10:54:48.649293	2024-09-29 11:03:02.719247	48	0	/ztf/ops/forcedphot/lc/0/387/req387627/cksumdb0f4c45f019bc6bcd63fb654b61ef2c/forcedphotometry_req00387627_lc.txt
387628	305.878933333333	-23.4423805555556	2459421.610451	2460021.610451	2024-09-29 09:56:46.984412	2024-09-29 10:54:48.554749	2024-09-29 11:03:09.861156	48	0	/ztf/ops/forcedphot/lc/0/387/req387628/cksumc92d0b2825e331e882c9984a7ef374a8/forcedphotometry_req00387628_lc.txt
387629	343.041666666667	73.5250111111111	2459607.925891	2460207.925891	2024-09-29 09:56:47.072627	2024-09-29 10:54:48.561284	2024-09-29 11:01:13.241723	48	57	/ztf/ops/forcedphot/lc/0/387/req387629/cksum4d6cba430238ce75d74d1cffe6b8a391/forcedphotometry_req00387629_lc.txt
387630	121.318966666667	81.719125	2459930.868000	2460530.868000	2024-09-29 09:56:47.392831	2024-09-29 10:54:46.027466	2024-09-29 11:03:38.504633	34	0	/ztf/ops/forcedphot/lc/0/387/req387630/cksum15dba370eb7b60fbff38a3f43f426ded/forcedphotometry_req00387630_lc.txt
387631	232.5235	35.6722	2459932.825000	2460532.825000	2024-09-29 09:56:47.487341	2024-09-29 10:54:50.484021	2024-09-29 11:10:59.712003	37	57	/ztf/ops/forcedphot/lc/0/387/req387631/cksumac4bc8706d5ebbb1a97399de7e35b47f/forcedphotometry_req00387631_lc.txt
387632	278.1542625	20.6026138888889	2459637.811447	2460237.811447	2024-09-29 09:56:47.54465	2024-09-29 11:00:12.651109	2024-09-29 11:28:26.773624	33	56	/ztf/ops/forcedphot/lc/0/387/req387632/cksuma40faf89b76b5ab94873bd8fd57085b9/forcedphotometry_req00387632_lc.txt
387633	27.2875	8.50975	2459713.942000	2460313.942000	2024-09-29 09:56:47.616048	2024-09-29 11:00:12.510198	2024-09-29 11:08:06.228151	42	0	/ztf/ops/forcedphot/lc/0/387/req387633/cksum66ffc49ebfdf42bbf4c3a0bd6951a90c/forcedphotometry_req00387633_lc.txt
