         MJD         m       dm   uJy  duJy F  err   chi/N     RA      Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs   __tmp_SN
57603.313384 19.454622      NaN   -13    20 c    0    1.05 253.49 -9.70757   773.21  2496.64 5.00 3.68 -29.4 -0.473    19.50 21.46 02a57603o0154c  -0.650000
57603.322769 18.243872      NaN    75    36 c    0    5.03 253.49 -9.70757 10518.22  2498.24 5.18 4.13  53.3 -0.488    19.49 21.47 02a57603o0172c   2.083333
57603.324306 19.510313      NaN     0    19 c    0    0.98 253.49 -9.70757   834.02  2575.14 4.94 3.66 -29.4 -0.476    19.49 21.45 02a57603o0175c   0.000000
57603.335905 19.589310      NaN     2    17 c    0    1.36 253.49 -9.70757   855.74  2456.33 4.94 3.66 -29.1 -0.474    19.49 21.44 02a57603o0197c   0.117647
57603.347217 19.367717      NaN    11    18 c    0    1.11 253.49 -9.70757   819.73  2514.88 4.95 3.67 -28.1 -0.465    19.47 21.42 02a57603o0216c   0.611111
57608.294111 19.436675      NaN     4    19 c    0    1.03 253.49 -9.70757  7760.76  8843.74 4.20 3.56  87.8 -0.486    19.40 21.10 02a57608o0090c   0.210526
57608.316532 19.510313      NaN    -1    19 c    0    1.19 253.49 -9.70757  7803.07  8880.44 4.18 3.60 -88.0 -0.476    19.39 21.12 02a57608o0120c  -0.052632
57608.327743 19.510313      NaN    -5    19 c    0    1.17 253.49 -9.70757  7822.44  8766.18 4.18 3.59 -89.0 -0.475    19.41 21.16 02a57608o0135c  -0.263158
57608.338915 19.510313      NaN   -13    19 c    0    1.10 253.49 -9.70757  7785.54  8824.17 4.27 3.71 -87.6 -0.456    19.41 21.22 02a57608o0150c  -0.684211
57627.264388 19.454622      NaN    -9    20 c    0    1.11 253.49 -9.70757  6193.29  9287.54 3.79 3.50  -4.4 -0.391    19.37 21.23 02a57627o0051c  -0.450000
57627.275875 19.155932      NaN    16    21 c    0    0.79 253.49 -9.70757  6174.74  9247.93 3.72 3.44  -9.6 -0.392    19.37 21.22 02a57627o0073c   0.761905
57627.286404 19.401649      NaN     9    18 c    0    1.02 253.49 -9.70757  6234.56  9325.81 3.67 3.39 -10.6 -0.396    19.37 21.22 02a57627o0093c   0.500000
57627.296883 19.115465      NaN    22    20 c    0    0.92 253.49 -9.70757  6255.78  9208.06 3.56 3.28 -16.2 -0.406    19.39 21.21 02a57627o0113c   1.100000
57627.308507 19.271854      NaN    14    19 c    0    0.95 253.49 -9.70757  6219.60  9264.74 3.74 3.51 -11.4 -0.411    19.34 21.20 02a57627o0135c   0.736842
57844.616768 19.256669      NaN     6    22 c    0    0.91 253.49 -9.70757  1408.24   948.03 4.42 4.08   1.1 -0.374    19.40 21.38 02a57844o0729c   0.272727
57844.638250 19.351140      NaN   -11    22 c    0    1.16 253.49 -9.70757  1389.04   909.12 4.01 3.78  87.1 -0.414    19.25 20.87 02a57844o0768c  -0.500000
57903.494976 19.894850      NaN    13     9 c    0    1.16 253.49 -9.70757  7925.09  9852.41 2.77 2.53  27.2 -0.426    19.74 21.36 02a57903o0507c   1.444444
