,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
484,59531.432001,21.889,4.182,6,27,o,0,1.23,66.66112,-11.89603,2931.47,7003.94,3.34,3.2,-45.4,-0.415,18.51,19.71,01a59531o0504o
485,59531.434766,20.244,0.681,29,20,o,0,1.09,66.66112,-11.89603,2912.47,6965.67,3.18,3.09,-38.2,-0.414,18.79,19.99,01a59531o0510o
486,59531.437532,-22.446,4.765,-4,18,o,0,1.29,66.66112,-11.89603,2972.27,7041.86,3.09,2.93,-45.0,-0.439,18.9,20.11,01a59531o0516o
487,59531.450381,19.887,0.514,40,21,o,0,1.19,66.66112,-11.89603,2989.56,6921.37,2.95,2.82,-43.1,-0.455,18.84,19.96,01a59531o0543o
488,59532.387979,-16.196,5.088,-1207,6141,o,0,0.87,66.66112,-11.89603,2917.68,7013.03,4.05,3.91,-40.2,-0.364,14.06,14.43,01a59532o0403o
489,59532.389822,17.671,12.049,310,3738,o,0,1.04,66.66112,-11.89603,2897.18,6973.88,4.63,4.48,-46.3,-0.349,14.36,14.86,01a59532o0407o
490,59532.395362,17.805,4.43,274,1214,o,0,1.12,66.66112,-11.89603,2958.43,7050.3,4.56,4.47,-46.0,-0.321,15.48,16.02,01a59532o0419o
491,59532.404116,19.325,2.992,68,202,o,0,0.88,66.66112,-11.89603,2978.51,6931.15,3.79,3.72,-32.7,-0.351,17.29,18.07,01a59532o0438o
492,59534.394076,23.975,217.8,1,203,o,0,0.91,66.66112,-11.89603,5453.83,8049.4,2.22,2.04,28.3,-0.472,17.5,17.48,02a59534o0128o
493,59534.397293,-20.294,3.738,-28,104,o,0,0.97,66.66112,-11.89603,5472.85,8088.26,2.13,1.98,33.9,-0.454,18.01,18.06,02a59534o0135o
494,59534.400496,20.263,3.628,28,103,o,0,1.32,66.66112,-11.89603,5415.18,8009.78,2.2,2.01,29.3,-0.437,17.98,17.99,02a59534o0142o
495,59534.408128,19.032,1.782,89,158,o,0,1.4,66.66112,-11.89603,5394.24,8127.34,2.17,1.99,35.6,-0.459,17.68,17.63,02a59534o0158o
496,59535.423732,-21.756,15.353,-7,111,o,0,1.34,66.66112,-11.89603,2932.86,7006.9,2.86,2.71,-40.7,-0.479,18.09,18.85,01a59535o0441o
497,59535.426955,-24.51,90.333,-1,52,o,0,1.26,66.66112,-11.89603,2912.46,6967.03,2.82,2.68,-27.1,-0.473,18.34,18.94,01a59535o0448o
498,59535.431192,20.165,1.153,31,36,o,0,1.15,66.66112,-11.89603,2972.47,7044.12,2.89,2.83,-48.1,-0.454,18.48,19.18,01a59535o0457o
499,59535.436731,-21.415,4.182,-10,41,o,0,0.94,66.66112,-11.89603,2991.63,6926.35,2.79,2.63,-36.8,-0.477,18.5,19.08,01a59535o0469o
500,59538.482503,19.822,1.484,43,64,o,0,1.34,66.66112,-11.89603,2854.44,8981.1,2.22,2.05,45.1,-0.422,18.45,18.71,02a59538o0379o
501,59538.486293,-19.91,1.439,-39,57,o,0,1.19,66.66112,-11.89603,2835.29,8940.07,2.2,2.05,53.5,-0.436,18.4,18.71,02a59538o0387o
502,59538.493306,20.552,2.858,22,62,o,0,0.91,66.66112,-11.89603,2893.47,9019.41,2.23,2.05,50.7,-0.424,18.39,18.71,02a59538o0402o
503,59538.527844,20.152,1.791,32,56,o,0,1.87,66.66112,-11.89603,2914.24,8909.55,2.21,2.07,52.6,-0.431,18.35,18.61,02a59538o0476o
504,59539.49082,19.503,0.445,57,26,o,0,1.16,66.66112,-11.89603,5673.21,3701.97,2.74,2.71,-4.8,-0.465,18.55,19.12,01a59539o0599o
505,59539.495428,18.749,0.363,115,42,o,0,1.08,66.66112,-11.89603,5694.71,3739.96,2.8,2.75,17.2,-0.462,18.07,18.44,01a59539o0609o
506,59539.527155,-19.095,0.87,-84,73,o,0,1.1,66.66112,-11.89603,5640.57,3669.36,3.37,3.34,-78.5,-0.416,17.36,17.81,01a59539o0677o
507,59539.555216,-20.115,1.051,-33,34,o,0,1.2,66.66112,-11.89603,5624.71,3789.95,3.0,2.87,62.5,-0.452,18.29,18.81,01a59539o0737o
508,59540.470962,-22.374,5.773,-4,24,o,0,0.96,66.66112,-11.89603,5664.3,3702.66,2.85,2.75,-36.3,-0.447,18.72,19.43,01a59540o0642o
509,59540.474647,22.318,5.13,4,22,o,0,1.63,66.66112,-11.89603,5684.82,3740.81,2.83,2.74,-16.2,-0.456,18.65,19.4,01a59540o0650o
