         MJD         m       dm    uJy  duJy F  err   chi/N       RA       Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs     Mask  uJy_offset
57803.301410 19.401649      NaN    9.5    21 c    0    0.96 58.62571 -34.66868  2501.29   846.72 4.13 4.02 -66.1 -0.384    19.37 21.26 02a57803o0156c 0xc00800        10.5
57807.252053 19.472870      NaN   12.5    19 c    0    0.92 58.62571 -34.66868  9229.38  2556.47 3.94 3.65  83.2 -0.424    19.55 21.49 02a57807o0048c 0xc00800        10.5
57807.266082 19.569016      NaN  -26.5    18 c    0    0.94 58.62571 -34.66868  9215.20  2516.33 3.87 3.62  85.8 -0.433    19.52 21.46 02a57807o0075c 0xc00800        10.5
57807.280742 19.510313      NaN  -12.5    19 c    0    1.06 58.62571 -34.66868  9279.78  2590.86 3.98 3.74  87.6 -0.422    19.45 21.35 02a57807o0103c 0xc00800        10.5
57807.295050 18.933071      NaN   41.5    22 c    0    0.90 58.62571 -34.66868  9297.81  2471.51 3.95 3.76  86.1 -0.427    19.38 21.29 02a57807o0131c 0xc00800        10.5
57811.232698 18.376212      NaN  -13.5    54 c    0    1.07 58.62571 -34.66868  6177.90  9947.39 4.48 4.17  24.6 -0.393    18.05 19.95 02a57811o0017c 0xc00800        10.5
57811.241358 18.786693      NaN  -22.5    37 c    0    0.89 58.62571 -34.66868  6161.80  9907.83 4.48 4.32  29.3 -0.386    19.08 21.14 02a57811o0034c 0xc00800        10.5
57811.245040 18.526952      NaN  -25.5    47 c    0    1.63 58.62571 -34.66868  9545.33   180.36 4.12 3.95  89.8 -0.445    18.35 20.39 02a57811o0041c 0xc00900        10.5
57811.246039 18.343209      NaN   69.5    36 c    0    1.15 58.62571 -34.66868   102.89   176.26 4.28 4.03 -83.3 -0.409    18.88 20.84 02a57811o0043c 0xc00800        10.5
57811.267576 18.396507      NaN  -38.5    53 c    0    1.06 58.62571 -34.66868  6245.25  9862.19 3.96 3.87  19.3 -0.433    18.59 20.51 02a57811o0085c 0xc00800        10.5
57811.272666 17.797727      NaN    7.5    92 c    0    1.19 58.62571 -34.66868  9580.01   214.79 3.97 3.88  65.2 -0.466    17.94 19.81 02a57811o0095c 0xc00800        10.5
57811.287279 17.747755      NaN   59.5    80 c    0    1.18 58.62571 -34.66868  9614.12    93.29 3.96 3.86  45.6 -0.486    18.16 19.97 02a57811o0123c 0xc00800        10.5
57981.625991 19.766969      NaN    8.5    15 c    0    1.07 58.62571 -34.66868 10187.63 10451.58 2.76 2.28  50.4 -0.432    19.33 20.62 02a57981o0787c 0xc00800        10.5
57981.634260 18.034118      NaN  -29.5    74 c    0    0.89 58.62571 -34.66868 10202.84 10493.78 2.78 2.25  49.9 -0.515    18.40 19.09 02a57981o0804c 0xc00800        10.5
57985.630597 19.652575      NaN   12.5    16 c    0    1.18 58.62571 -34.66868   310.65  7871.81 2.84 2.36  49.9 -0.418    19.19 20.37 02a57985o0814c 0xc00800        10.5
57985.632050 18.921935      NaN   51.5    19 c    0    1.20 58.62571 -34.66868  9763.23  7850.29 2.70 2.51  65.6 -0.428    19.02 20.08 02a57985o0817c 0xc00800        10.5
57985.633012 18.944322      NaN  -35.5    32 c    0    0.82 58.62571 -34.66868  9779.60  7890.14 2.68 2.48  62.5 -0.438    18.86 19.83 02a57985o0819c 0xc00800        10.5
58013.560031 20.321591      NaN   -1.5     9 c    0    1.23 58.62571 -34.66868  8025.51  5552.28 2.57 2.50 -72.1 -0.418    19.75 21.52 02a58013o0746c 0xc00800        10.5
58013.564595 20.321591      NaN   10.5     9 c    0    1.30 58.62571 -34.66868  8043.26  5590.81 2.57 2.50 -79.8 -0.415    19.74 21.50 02a58013o0756c 0xc00800        10.5
58013.576015 20.449472      NaN    3.5     8 c    0    1.47 58.62571 -34.66868  7976.51  5515.67 2.60 2.52 -83.6 -0.423    19.77 21.56 02a58013o0781c 0xc00800        10.5
58013.584699 20.321591      NaN    3.5     9 c    0    1.17 58.62571 -34.66868  7956.14  5633.86 2.62 2.54 -81.5 -0.415    19.72 21.56 02a58013o0800c 0xc00800        10.5
58017.570230 19.696897      NaN   25.5    11 c    0    0.83 58.62571 -34.66868  7643.82  4349.81 2.75 2.40  64.8 -0.427    19.64 21.38 02a58017o0630c 0xc00800        10.5
58017.579078 20.207197      NaN    7.5    10 c    0    1.36 58.62571 -34.66868  2796.55  6049.47 2.57 2.36  31.8 -0.439    19.64 21.38 02a58017o0649c 0xc00800        10.5
58017.586058 20.207197      NaN   13.5     9 c    0    1.23 58.62571 -34.66868  7611.09  4314.35 2.73 2.42  65.4 -0.424    19.65 21.45 02a58017o0663c 0xc00800        10.5
58017.594443 20.321591      NaN   10.5     9 c    0    1.07 58.62571 -34.66868  7571.41  4432.74 2.71 2.42  64.5 -0.429    19.62 21.47 02a58017o0680c 0xc00800        10.5
58021.573130 20.449472      NaN   -6.5     8 c    0    1.19 58.62571 -34.66868  5495.30  7355.94 2.57 2.46  15.7 -0.445    19.66 21.61 02a58021o0772c 0xc00800        10.5
58021.583320 20.495680      NaN   12.5     7 c    0    1.34 58.62571 -34.66868  4972.67  3128.56 2.53 2.40  61.3 -0.414    19.71 21.52 02a58021o0793c 0xc00800        10.5
58021.591407 19.950541      NaN   18.5    10 c    0    1.16 58.62571 -34.66868  5543.39  7394.10 2.48 2.39  15.3 -0.447    19.72 21.49 02a58021o0809c 0xc00800        10.5
